%time,field.header.seq,field.header.stamp,field.header.frame_id,field.current_id,field.relative_rad
1385303031354019109,367,1385303031354019109,,55,0.0
1385303031468795470,368,1385303031468795470,,55,0.0
1385303031564028344,369,1385303031564028344,,55,0.0
1385303031675377485,370,1385303031675377485,,55,0.0
1385303031769768626,371,1385303031769768626,,56,0.0
1385303031878298546,372,1385303031878298546,,56,0.0
1385303031967275461,373,1385303031967275461,,56,0.0
1385303032063312522,374,1385303032063312522,,56,0.0
1385303032162959019,375,1385303032162959019,,57,0.0
1385303032274478005,376,1385303032274478005,,57,0.0
1385303032385072026,377,1385303032385072026,,57,0.0
1385303032467412444,378,1385303032467412444,,57,0.0
1385303032565288912,379,1385303032565288912,,58,0.0
1385303032732733784,380,1385303032732733784,,58,0.0
1385303032780335957,381,1385303032780335957,,58,0.0
1385303032883336346,382,1385303032883336346,,58,0.0
1385303032974124356,383,1385303032974124356,,57,0.0
1385303033082286961,384,1385303033082286961,,57,0.0
1385303033186505451,385,1385303033186505451,,57,0.0
1385303033310551672,386,1385303033310551672,,59,0.0
1385303033403171282,387,1385303033403171282,,59,0.0
1385303033478821147,388,1385303033478821147,,59,0.0
1385303033587246563,389,1385303033587246563,,59,0.0
1385303033687388309,390,1385303033687388309,,60,0.0
1385303033770715808,391,1385303033770715808,,60,0.0
1385303033872655350,392,1385303033872655350,,60,0.0
1385303033976244312,393,1385303033976244312,,60,0.0
1385303034080622170,394,1385303034080622170,,60,0.0
1385303034175968227,395,1385303034175968227,,60,0.0
1385303034278395977,396,1385303034278395977,,60,0.0
1385303034457129215,397,1385303034457129215,,60,0.0
1385303034515818082,398,1385303034515818082,,60,0.0
1385303034631519648,399,1385303034631519648,,60,0.0
1385303034687738698,400,1385303034687738698,,60,0.0
1385303034837161549,401,1385303034837161549,,61,0.0
1385303034919155343,402,1385303034919155343,,61,0.0
1385303034992993472,403,1385303034992993472,,61,0.0
1385303035083406795,404,1385303035083406795,,61,0.0
1385303035182202115,405,1385303035182202115,,61,0.0
1385303035285091964,406,1385303035285091964,,61,0.0
1385303035378630757,407,1385303035378630757,,61,0.0
1385303035485208932,408,1385303035485208932,,61,0.0
1385303035583301202,409,1385303035583301202,,61,0.0
1385303035691361492,410,1385303035691361492,,61,0.0
